Hannes Kolehmainen
Lewis Tewanima
Albin Stenroos
Paavo Nurmi
Joseph Guillemot
James Wilson
Ville Ritola
Edvin Wide
Eero Berg
Paavo Nurmi
Ville Ritola
Edvin Wide
Janusz Kusocinski
Volmari Iso-Hollo
Lauri Johannes Virtanen
Ilmari Salminen
Arvo Askola
Volmari Iso-Hollo
Emil Zátopek
Alain O'Kacha Mimoun
Bertil Albertsson
Emil Zátopek
Alain O'Kacha Mimoun
Aleksandr Anufriyev
Vladimir Kuts
József Kovács
Allan Cleave Lawrence
Pyotr Bolotnikov
Hans Grodotzki
David Power
William Mills
Mohamed Gammoudi
Ronald Clarke
Naftali Temu
Mamo Wolde
Mohamed Gammoudi
Lasse Viren
Emiel Puttemans
Miruts Yifter
Lasse Viren
Carlos Sousa Lopes
Brendan Foster
Miruts Yifter
Kaarlo Maaninka
Mohammed Kedir
Alberto Cova
Michael McLeod
Mike Musyoki
Brahim Boutaib
Salvatore Antibo
Kipkemboi Kimeli
Khalid Skah
Richard Chelimo
Addis Abebe
Haile Gebreselassie
Paul Tergat
Salah Hissou
Haile Gebreselassie
Paul Tergat
Assefa Mezgebu
Kenenisa Bekele
Sileshi Sihine
Zersenay Tadesse
Kenenisa Bekele
Sileshi Sihine
Micah Kogo
