Emil Rausch
Géza Kiss
Francis Gailey
Henry Taylor
Thomas Sidney Battersby
Frank Beaurepaire
George Hodgson
John Gatenby Hatfield
Harold H. Hardwick
Norman Ross
George Vernot
Frank Beaurepaire
Boy Charlton
Arne Borg
Frank Beaurepaire
Arne Borg
Boy Charlton
Buster Crabbe
Kusuo Kitamura
Shozo Makino
James Cristy
Noboru Terada
Jack Medica
Shumpei Uto
James McLane
John Marshall
György Mitró
Ford Konno
Shiro Hashizume
Tetsuo Okamoto
Murray Rose
Tsuyoshi Yamanaka
George Breen
John Konrads
Murray Rose
George Breen
Robert Windle
John Nelson
Allan Wood
Michael Burton
John Kinsella
Gregory Brough
Michael Burton
Graham Windeatt
Douglas Northway
Brian Goodell
Bobby Hackett
Stephen Holland
Vladimir Salnikov
Aleksandr Chaev
Max Metzker
Michael O'Brien
George Dicarlo
Stefan Pfeiffer
Vladimir Salnikov
Stefan Pfeiffer
Uwe Dassler
Kieren Perkins
Glen Housman
Jörg Hoffmeister
Kieren Perkins
Daniel Kowalski
Graeme Smith
Grant Hackett
Kieren Perkins
Chris Thompson
Grant Hackett
Larsen Jensen
David Davies
Oussama Mellouli
Grant Hackett
Ryan Cochrane
