Debbie Meyer
Jan Henne
Jane Barkman
Shane Gould
Shirley Babashoff
Keena Rothhammer
Kornelia Ender
Shirley Babashoff
Enith Brigitha
Barbara Krause
Ines Diers
Carmela Schmidt
Mary Wayte
Cynthia Woodhead
Annemarie Verstappen
Heike Friedrich
Silvia Poll
Manuela Stellmach
Nicole Haislett
Franziska van Almsick
Kerstin Kielgass
Claudia Poll
Franziska van Almsick
Dagmar Hase
Susan O'Neill
Martina Moravcova
Claudia Poll
Camelia Potec
Federica Pellegrini
Solenne Figues
Federica Pellegrini
Sara Isakovic
Pang Jiaying
