Fanny Blankers-Koen
Audrey Williamson
Audrey Patterson
Marjorie Jackson
Bertha Brouwer
Nadezhda Khnykina
Betty Cuthbert
Christa Stubnick
Marlene Matthews
Wilma Rudolph
Jutta Heine
Dorothy Hyman
Edith McGuire
Irena Szewinska
Marilyn Black
Irena Szewinska
Raelene Boyle
Jennifer Lamy
Renate Stecher
Raelene Boyle
Irena Szewinska
Bärbel Wöckel
Annegret Richter
Renate Stecher
Bärbel Wöckel
Natalya Bochina
Merlene Ottey
Valerie Brisco-Hooks
Florence Griffith-Joyner
Merlene Ottey
Florence Griffith-Joyner
Grace Jackson
Heike Drechsler
Gwen Torrence
Julie Cuthbert
Merlene Ottey
Marie-José Perec
Merlene Ottey
Mary Onyali
Pauline Davis-Thompson
Susanthika Jayasinghe
Beverly McDonald
Veronica Campbell-Brown
Allyson Felix
Debbie Ferguson
Veronica Campbell-Brown
Allyson Felix
Kerron Stewart
