Frederick Lane
Zoltán Halmay
Karl Ruberl
Charles Daniels
Francis Gailey
Emil Rausch
Michael Wenden
Donald Schollander
John Nelson
Mark Spitz
Steve Genter
Werner Lampe
Bruce Furniss
John Naber
Jim Montgomery
Sergei Koplyakov
Andrei Krylov
Graeme Brewer
Michael Gross
Michael Heath
Thomas Fahrner
Duncan Armstrong
Anders Holmertz
Matt Biondi
Evgeni Sadovyi
Anders Holmertz
Antti Kasvio
Danyon Loader
Gustavo Borges
Daniel Kowalski
Pieter van den Hoogenband
Ian Thorpe
Massimiliano Rosolino
Ian Thorpe
Pieter van den Hoogenband
Michael Phelps
Michael Phelps
Park Tae-Hwan
Peter Vanderkaay
