Charles Daniels
Francis Gailey
Otto Wahle
Henry Taylor
Frank Beaurepaire
Otto Scheff
George Hodgson
John Gatenby Hatfield
Harold H. Hardwick
Norman Ross
Ludy Langer
George Vernot
Johnny Weissmuller
Arne Borg
Boy Charlton
Alberto Zorrilla
Boy Charlton
Arne Borg
Buster Crabbe
Jean Taris
Tsutomu Oyokota
Jack Medica
Shumpei Uto
Shozo Makino
William Smith
James McLane
John Marshall
Jean Boiteux
Ford Konno
Per-Olof +O25strand
Murray Rose
Tsuyoshi Yamanaka
George Breen
Murray Rose
Tsuyoshi Yamanaka
John Konrads
Donald Schollander
Frank Wiegand
Allan Wood
Michael Burton
Ralph Hutton
Alain Mosconi
Bradford Cooper
Steve Genter
Tom McBreen
Brian Goodell
Tim Shaw
Vladimir Raskatov
Vladimir Salnikov
Andrei Krylov
Ivar Stukolkin
George Dicarlo
John Mykkanen
Justin Lemberg
Uwe Dassler
Duncan Armstrong
Artur Wojdat
Evgeni Sadovyi
Kieren Perkins
Anders Holmertz
Danyon Loader
Paul Palmer
Daniel Kowalski
Ian Thorpe
Massimiliano Rosolino
Klete Keller
Ian Thorpe
Grant Hackett
Klete Keller
Park Tae-Hwan
Zhang Lin
Larsen Jensen
