Halina Konopacka
Lillian Copeland
Ruth Svedberg
Lillian Copeland
Ruth Osborn
Jadwiga Wajsówna
Gisela Mauermayer
Jadwiga Wajsówna
Paula Mollenhauer
Micheline Ostermeyer
Edera Cordiale Gentile
Jacqueline Mazeas
Nina Romashkova
Elizaveta Bagryantseva
Nina Dumbadze
Olga Fikotová
Irina Beglyakova
Nina Romashkova
Nina Romashkova
Tamara Press
Lia Manoliu
Tamara Press
Ingrid Lotz
Lia Manoliu
Lia Manoliu
Liesel Westermann
Jolan Kleiber
Faina Melnik
Argentina Menis
Wassilka Stoewa
Evelin Jahl
Maria Petkowa
Gabriele Hinzmann
Evelin Jahl
Maria Petkowa
Tatyana Lesovaia
Ria Stalman
Leslie Deniz
Florenta Craciunescu
Martina Hellmann
Diana Gansky
Zvetanka Christova
Maritza Marten Garcia
Zvetanka Christova
Daniela Costian
Ilke Wyludda
Natalya Sadova
Ellina Zvereva
Ellina Zvereva
Anastasia Kelesidou
Irina Yatchenko
Natalya Sadova
Anastasia Kelesidou
Irina Yatchenko
Stephanie Brown Trafton
Yarelis Barrios
Olena Antonova
