Ellery Clark
Robert Garrett
James Connolly
Alvin Kraenzlein
Meyer Prinstein
Patrick Joseph Leahy
Meyer Prinstein
Daniel Frank
Robert Stangland
Francis Irons
Daniel Kelly
Calvin Bricker
Albert Gutterson
Calvin Bricker
Georg Aberg
William Petersson
Carl Johnson
Erik Abrahamsson
William DeHart Hubbard
Edward Gourdin
Sverre Hansen
Edward Hamm
Silvio Cator
Alfred Bates
Edward Gordon
Charles Lambert Redd
Chuhei Nambu
Jesse Owens
Luz Long
Naoto Tajima
Willie Steele
Thomas Bruce
Herbert Douglas
Jerome Biffle
Meredith Gourdine
+O25dön Földessy
Gregory Bell
John Bennett
Jorma Valkama
Ralph Boston
Irvin Roberson
Igor Ter-Ovanesyan
Lynn Davies
Ralph Boston
Igor Ter-Ovanesyan
Bob Beamon
Klaus Beer
Ralph Boston
Randy Williams
Hans Baumgartner
Arni Robinson
Arni Robinson
Randy Williams
Frank Wartenberg
Lutz Dombrovski
Frank Paschek
Valeri Podluzhnyi
Carl Lewis
Gary Honey
Giovanni Evangelisti
Carl Lewis
Mike Powell
Larry Myricks
Carl Lewis
Mike Powell
Joe Greene
Carl Lewis
James Beckford
Joe Greene
Ivan Pedroso
Jai Turima
Roman Schurenko
Dwight Phillips
John Moffitt
Joan Lino Martinez
Irving Saladino
Khotso Mokoena
Ibrahim Camejo
