Olga Gyarmati
Noëmi Simonetto De Portela
Ann-Britt Leyman
Yvette Williams
Aleksandra Chudina
Shirley Cawley
Elzbieta Krzesinska
Willye White
Nadezhda Khnykina
Vera Krepkina
Elzbieta Krzesinska
Hildrun Claus
Mary Rand
Irena Szewinska
Tatyana Shchelkanova
Viorica Viscopoleanu
Sheila Sherwood
Tatyana Talysheva
Heidemarie Rosendahl
Diana Jorgowa
Eva Suranová
Angela Voigt
Kathy McMillan
Lidia Alfeeva
Tatyana Kolpakova
Brigitte Wujak
Tatyana Skachko
Anisoara Stanciu
Vali Ionescu
Susan Hearnshaw
Jackie Joyner-Kersee
Heike Drechsler
Galina Chistyakova
Heike Drechsler
Inessa Kravets
Jackie Joyner-Kersee
Chioma Ajunwa
Fiona May
Jackie Joyner-Kersee
Heike Drechsler
Fiona May
Tatyana Kotova
Tatyana Lebedeva
Irina Simagina
Tatyana Kotova
Maurren Maggi
Tatyana Lebedeva
Blessing Okagbare
